Dataset_name,year_data,lidar_modality,Sensor,full pointcloud,Country,Forest type,url data,License data,url paper,comments,georeferenced,EPSG,lat_long,Version,,,,,,,,,,,,,,
Wang_2021,,TLS,,yes,Cameroon,Tropical,https://datadryad.org/stash/dataset/doi:10.5061/dryad.np5hqbzp6,,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13342,,,,,1,,,,,,,,,,,,,,
Weinstein_2022,,ALS,Optech Galaxy Prime; Riegl Q780; Riegl VQ-780 II-S,yes,USA,various,https://zenodo.org/records/5914554,CCA 4.0 International,https://www.biorxiv.org/content/10.1101/2020.11.16.385088v1,many NEON sites,yes,5703,"[(42.521974, -72.198407)]",1,,,,,,,,,,,,,,
Weiser_2022,2021,"TLS, ULS, ALS","RIEGL VZ-400, RIEGL miniVUX-1UAV, RIEGL VQ-780i",,Germany,Temperate mixed,https://doi.pangaea.de/10.1594/PANGAEA.942856?format=html#download,CC-BY-SA-4.0,https://essd.copernicus.org/articles/14/2989/2022/essd-14-2989-2022.html,Bretten municipal forest and the Hardtwald forest in Karlsruhe-Waldstadt,yes,25832,"[(49.017535, 8.692077),(48.994848, 9.329470)]",1,,,,,,,,,,,,,,
Xi_2022,,TLS,,,Canada,,https://www.frdr-dfdr.ca/repo/dataset/ccf5e057-11c6-4149-8387-d52b519f9b2c,,,,,,,1,,,,,,,,,,,,,,
Yuchen_2023,,ULS,,yes,French Guiana,Tropical,https://zenodo.org/records/8398853,,,,yes,,,1,,,,,,,,,,,,,,
Zieher_2021,2021,TLS,Riegl VZ-2000i,yes,Austria,Apline,https://zenodo.org/records/7105974,CC-BY-4.0,,Zirbenwald near Obergurgl; Pinus cembra,yes,32632,"[(46.855548, 11.014621)]",1,,,,,,,,,,,,,,
Zong_2022,2017,"TLS, ALS",RIEGL VZ-400,yes,Germany,Montane mixed,https://datadryad.org/stash/dataset/doi:10.5061/dryad.tx95x6b21,CC0 1.0 Universal,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2656.13847,Bavarian Forest National Park,,,"[(49.055179, 13.202468)]",1,,,,,,,,,,,,,,
Denuo_2025,2025,"TLS, ALS",,yes (only for part of ALS),China,Japanese larch (Larix kaempferi),https://zenodo.org/records/14737000,CCA 4.0 International,,"Dagujia Forest Farm in Liaoning Province, China,",no,,"[(42.326360, 123.380890)]",2,,,,,,,,,,,,,,
TorralbaPerez_2025a,,TLS,Faro Focus 120 3D,yes,Spain,Temperate Mediterranean forests,https://zenodo.org/records/14712786,Creative Commons BY-NC-SA,,Sierra de Espadán Natural Park,"no (registered across scans), but exported point clouds appear in relative/local coordinates rather than absolute EPSG system",25830,"[(39.954787, -0.386504)]",2,,,,,,,,,,,,,,
TorralbaPerez_2025b,,TLS,Faro Focus 120 3D,yes,Spain,Temperate Mediterranean forests,https://zenodo.org/records/14713173,Creative Commons BY-NC-SA,,Sierra Calderona Natural Park,no,25830,"[(39.704841, -0.431292)]",2,,,,,,,,,,,,,,
Winiwarter_2023,,"TLS, ULS","ULS with a Riegl miniVUX-1UAV mounted on a DJI Matrice 600 Pro, TLS with a Riegl VZ-2000i",yes,Germany,Temperate coniferous forest,https://heidata.uni-heidelberg.de/dataset.xhtml?persistentId=doi:10.11588/data/UCPTP1,Creative Commons Attribution 4.0 International (CC BY 4.0),"Scharffenberger, T. (2022): Fine-Scale Influences of Tree Structure and Topography on Sub-Canopy Snow Depth in Temperate Coniferous Forests: A Novel Approach Combining Both Object- and Area-Based LiDAR Metrics [Bachelor Thesis, Heidelberg University].doi: 10.13140/RG.2.2.35949.67049 (https://www.researchgate.net/publication/367241219_Fine-Scale_Influences_of_Tree_Structure_and_Topography_on_Sub-Canopy_Snow_Depth_in_Temperate_Coniferous_Forests_A_Novel_Approach_Combining_Both_Object-_and_Area-Based_LiDAR_Metrics?channel=doi&linkId=63c91d2fe922c50e99a81205&showFulltext=true)","Black Forest, Hundseck",yes,25832,"[(48.638611, 8.216389)]",2,,,,,,,,,,,,,,
Assiri_2023,,ULS,"DJI Matrice 300 RTK quad-copter equipped with DJI Zenmuse L1, which combinesa LiDAR sensor (laser wavelength at 905 nm)",yes,Italy,"Alpine subarctic peatland, bordered by Norway spruce (Picea abies) forest",https://zenodo.org/records/7912969,CCA 4.0 International,https://www.tandfonline.com/doi/full/10.1080/15481603.2023.2270791,"Ciampo alpine peatland (Veneto Region, Italy)",yes,32633,"[(46.4567, 11.3045)]",2,,,,,,,,,,,,,,
Boucher_2023,,ULS,Riegl VUX-1LR,yes,South Africa,Tropical Savanna woodland ((Kruger National Park)),https://zenodo.org/records/7636076,Creative Commons Zero v1.0 Universal,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.14081,Kruger National Park,yes,,"[(?24.0, 31.5)]",2,,,,,,,,,,,,,,
Burt_2020,,TLS,RIEGL VZ-400,no,Brazil,Tropical,https://zenodo.org/records/4056903,CCA 4.0 International,https://royalsocietypublishing.org/doi/10.1098/rsos.201458,"Floresta Nacional de Caxiuanã, Pará",no,,"[(-1.798, -51.435)]",2,,,,,,,,,,,,,,
Chen_2024,,TLS,Trimble TX08,yes,Canada,Temperate,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP3/VRD09H,CCA 4.0 International,FCOR599 Final Report.pdf,"David C. Lam Asian Garden, UBC Botanical Garden, Vancouver, BC, Canada",Yes,26910 (NAD83 / UTM zone 10N?UBC Vancouver),"[(49.2545, -123.2425)]",2,,,,,,,,,,,,,,
Cushman_2019,,ALS,Optech 3100EA,yes,Costa Rica,Tropical wet forest (old-growth lowland rainforest),https://datadryad.org/dataset/doi:10.5061/dryad.1v72g43,CC0 1.0 Universal Deed (Dryad),https://onlinelibrary.wiley.com/doi/10.1111/ele.13214?msockid=07e294b60e9b6b91270680c50f6e6acb,La Selva Biological Station in Costa Rica,No,did not find,"[(10.433, -83.983)]",2,,,,,,,,,,,,,,
Donager_2019,,TLS,Riegl VZ-1000 and autonomous terrestrial laser scanner [ATLS],yes,USA,Ponderosa Pine,https://www.sciencebase.gov/catalog/item/5b85cbaee4b0702d0e77a46b,"USGS Public Domain : The author(s) of these data request that data users contact them regarding intended use and to assist with understanding limitations and interpretation. Unless otherwise stated, all data, metadata and related materials are considered to satisfy the quality standards relative to the purpose for which the data were collected. Although these data and associated metadata have been reviewed for accuracy and completeness and approved for release by the U.S. Geological Survey (USGS), no warranty expressed or implied is made regarding the display or utility of the data for other purposes, nor on all computer systems, nor shall the act of distribution constitute any such warranty.",https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2018EA000417,"at the Rudd Tank and Powerline experimental sites located near Flagstaff, Arizona, within Northern Arizona. These sites are part of the Fire and Fire Surrogate (FFS) study area.",yes,did not find,"[(35.2, -111.7)]",2,,,,,,,,,,,,,,
Dubrovin_2024,,ULS,AGM-MS3,yes,Russia,Boreal,https://www.kaggle.com/datasets/sentinel3734/tree-detection-lidar-rgb/data,Other,https://www.nature.com/articles/s41598-024-72669-5.epdf?sharing_token=cPwZ5pnjEDHzZ-dWaETo99RgN0jAjWel9jnR3ZoTv0Mw7VpPqBQqkwxVQnLN1b0p1iS9Z3m1O1Jmn6VheKvypsNrcXWvY-QjImXLVN51fsZjq4KaFUlTuf8ZNMTzM4D7M-vX_yvHHTsa4ID48SIV2i22bEmYE6TcNreS3SVRyHc%3D,"Perm Krai, Russia",yes,32640,"[(57.971128, 57.846342)]",2,,,,,,,,,,,,,,
ForestScan,,ULS; ALS,Riegl VZ-400,yes,"French Guiana, Gabon, Borneo",Tropical,https://catalogue.ceda.ac.uk/uuid/88a8620229014e0ebacf0606b302112d/?jump=related-docs-anchor,CC BY 4.0,,Paracou Research Station in French Guiana; Station d'Etudes des Gorilles et Chimpanzes Lopé National Park; Kabili-Sepilok Forest Reserve,,,"[(5.273984, -52.923501), (-0.111086, 11.602120),(5.836822, 117.950043)]",2,,,,,,,,,,,,,,
Fischer_2024,,ALS,Riegl Q560,yes,Australia,Semi-arid woodland/shrubland; Tropical savana; Dry/wet schlerophyll; Seasonal Tropical,https://zenodo.org/records/13148966,CCA 4.0 International,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.14416,TERN sites across Australia,yes,,"[(-22.28, 133.25),(-34.00, 140.59),(-30.19, 120.66),(-13.18, 131.79),(-36.75, 144.96),(-17.11, 145.62)]",2,,,,,,,,,,,,,,
ForestGEO,,ALS,Riegl LMS680,yes,Republic of Panama,Tropical,https://smithsonian.dataone.org/view/doi:10.60635/C34W2W,CCA 4.0 International,,Barro Colorado,yes,,"[(9.157714, -79.847649)]",2,,,,,,,,,,,,,,
Guzman_2022,,ULS,DJI L1,yes,USA,,https://datadryad.org/dataset/doi:10.5061/dryad.jdfn2z3hk,CC0 1.0 Universal,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecy.70055,"Cedar Creek Ecosystem Science Reserve (CCESR), Minnesota, USA",yes,26195,"[(45.400271, -93.202231)]",2,,,,,,,,,,,,,,
Jackisch_2024,,ULS,Yellowscan Mapper Plus,yes,Germany,Temperate mixed foresy,https://zenodo.org/records/13255987,CCA 4.0 International,,"Hydrogeolocial experimental Station Britz, Britz, Brandenburg, Germany",yes,25833,"[52.876672, 13.832073)]",2,,,,,,,,,,,,,,
Jinhu_2024,,ALS,verious ALS,yes,Netherlands,temperate,https://zenodo.org/records/13628041,CCA 4.0 International,https://www.sciencedirect.com/science/article/pii/S2352340922010010?via%3Dihub,Data from Dutch Nationwide ALS campaign (Dutch AHN4 dataset),yes,,"[(52.274117, 5.858760)]",2,,,,,,,,,,,,,,
Morley_2023,,ULS,Velodyne puck,yes,Germany,Beech forest,https://catalogue.ceh.ac.uk/documents/23d6a61c-c1cf-4c1b-a65c-f3fe42fc0e76,OGL v3.0 (https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/),,UNESCO Rh?n Biosphere Reserve,yes,4326,"[(50.675347, 10.122678)]",2,,,,,,,,,,,,,,
Nan_2021,,ALS,,yes,Austria,Urban Forest,https://zenodo.org/records/4777087,CCA 4.0 International,https://ieeexplore.ieee.org/document/9462932,Vienna,yes,31256,"[(48.192518, 16.366937)]",2,,,,,,,,,,,,,,
Rosenthal_2023,,TLS,Leica BLK 360,yes,USA,montane conifer forests,https://www.sciencebase.gov/catalog/item/63ee8b7ad34efa0476afab53,,,Sequoia and Kings Canyon National Parks,no,,"[(36.693729, -118.557869)]",2,,,,,,,,,,,,,,
Smeds_2025,,TLS,,no,USA,Mediterranean,https://zenodo.org/records/16116069,,https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.70126,Sonoma county California; Chaparral and oak woodlands,yes,,"[(45.962383, -123.689893)]",2,,,,,,,,,,,,,,
SnowEx23,,TLS,Riegl VZ-400i,yes,USA,Boreal,https://search.earthdata.nasa.gov/search/granules?p=C3274557455-NSIDC_CPRD&pg[0][v]=f&pg[0][gsk]=-start_date&q=SNEX23_BCEF_TLS_Raw%20V001&tl=1673136000!3!!,,https://nsidc.org/sites/default/files/documents/technical-reference/snex23_bcef_tls_report_032023.pdf,Alaska,yes,32606,"[(64.761139, -148.295306)]",2,,,,,,,,,,,,,,
Srolleru_2025,,"ULS,TLS, ALS",Riegl Mini-VUX UAV; Faro Focus3D X 130,yes,Czechia,arctic-alpine tundra,https://zenodo.org/records/15591546,,https://www.tandfonline.com/doi/full/10.1080/01431161.2024.2383381,Krkonoše Mts.; unique gradient of canopy closure; treeline ecotone,yes,,"[(50.7666, 15.6166)]",2,,,,,,,,,,,,,,
Stein_2022,,TLS,Leica BLK360,yes,USA,"temperate mixed coniferous forest, shrub-steppe, prairie desert",https://datadryad.org/dataset/doi:10.5061/dryad.bcc2fqzgb,,,,no,,"[(46.820847, -116.785317),(45.187909, -113.885872),(46.603356, -117.000289)]",2,,,,,,,,,,,,,,
TupinambaSimoes_2022,,MLS,Geoslam ZEB-Horizon,yes,Spain,Mediterranean,https://zenodo.org/records/7308680,,https://www.mdpi.com/2072-4292/15/5/1169,"Maritime pine (Pinus pinaster—Pp) represents 25% of the population, Oak (Quercus pyrenaica—Qp) is 60% and 15% rest is for Black Alder (Alnus glutinosa—Ag) trees located along the stream crossing the plot",yes,25830,"[(40.127388, -5.714740)]",2,,,,,,,,,,,,,,
TupinambaSimoes_2023,,"ULS, MLS",Geoslam ZEB-Horizon,yes,Spain,Mediterranean,https://zenodo.org/records/10039244,,,,yes,25830,"[(41.884429, -4.772753)]",2,,,,,,,,,,,,,,
Wilkes_2021a,,TLS,Riegl VZ-400,no,UK,Urban forest,https://zenodo.org/records/5076045,CCA 4.0 International,,"Russell Square, London; London Plane (Platanus × hispanica).",point,,"[(51.521680, -0.126019)]",2,,,,,,,,,,,,,,
Wilkes_2021b,,TLS,Riegl VZ-400,no,UK,Urban forest,https://zenodo.org/records/5070663,CCA 4.0 International,,"Malet Street, London; London Plane (Platanus × hispanica).",point,,"[(51.521194, -0.129947)]",2,,,,,,,,,,,,,,
UniEdimburgh_2021,,TLS,Leica HDS6100,yes,"Angola, Tanzania",Tropical woodland,https://find.data.gov.scot/datasets/32904,CCA 4.0 International,,"Bicuar National Park (Angola), Mtrarure Forest Reserve (Tanzania)",yes,,"[(-15.378003, 14.752147),(-7.324909, 37.652280)]",2,,,,,,,,,,,,,,
Alleaume_2024,,ULS,YellowScan Surveyor,yes,France,Pine plantation,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/IG5UL8,Etalab Open License 2.0,,"Louchats forest, Gironde",yes,,"[(44.503419, -0.571897)]",2,,,,,,,,,,,,,,
ABoVE_2016,,TLS,Leica ScanStation C10 green wavelength laser,yes,USA,Boreal,https://cmr.earthdata.nasa.gov/search/concepts/C2143401877-ORNL_CLOUD.html,NA,,"Brookes range, Alaska",yes,,"[(68.128803, -149.478005)]",2,,,,,,,,,,,,,,
BlueFlux,,TLS,Riegl Vz-400i,yes,USA,Mangrove,https://gimi9.com/en/dataset/data-gov_cms-terrestrial-lidar-scans-of-mangrove-forests-everglades-np-fl-usa-2022-2023/,NA,,Everglades National park,yes,26917,"[(25.273374, -80.925838)]",2,,,,,,,,,,,,,,
ForestDesign,,MLS,Geoslam ZEB-Horizon,yes,Romania,Temperate broadleaved,Private,-,-,,,,,2,,,,,,,,,,,,,,
EVO_TLS,2021,TLS,Leica RTC 360 A 3D,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/7fc24f34-4a58-45d8-a8b0-7833f0106d92/data,CCA 4.0 International,,Evo test site,no,,"[(61.191404, 25.128323)]",2,,,,,,,,,,,,,,
EVO_MLS,2016,MLS,Riegl VUX-1HA,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/81e2f3ad-ed88-4dd5-9f59-401d30fac7de/data,CCA 4.0 International,,Evo test site,no,,"[(61.191404, 25.128323)]",2,,,,,,,,,,,,,,
EVO_MLS2,2020,MLS,Geoslam ZEB-Horizon,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/c3ed281f-adb6-479e-b323-bde3a9321b53,CCA 4.0 International,,Evo test site,no,,"[(61.191404, 25.128323)]",2,,,,,,,,,,,,,,
EVO_ALS,2009,ALS,Leica ALS50-II SN058,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/314c323c-7ecb-4f6c-9905-c03581a5cae2,CCA 4.0 International,,Evo test site,no,,"[(61.191404, 25.128323)]",2,,,,,,,,,,,,,,
EVO_ULS,2021,ULS,Riegl Mini-VUX3 UAV,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/3cd9e715-03bb-40da-a082-eb8a356de795/data,CCA 4.0 International,,Evo test site; Kalkkinen area,no,,"[(61.191404, 25.128323)]",2,,,,,,,,,,,,,,
LUKE_TLS,2023,TLS,Leica P40,yes,Finland,Boreal forest,https://etsin.fairdata.fi/dataset/222b7518-4398-4f0a-bb3b-cca286a218b6,CCA 4.0 International,,Lapinjärvi,,,"[(60.669992, 26.120004)]",2,,,,,,,,,,,,,,
TERNfletcherview,2022,TLS,Riegl VZ-2000i,yes,Australia,Grazed open savanna woodland,https://portal.tern.org.au/metadata/TERN/4cd25b4c-53cb-41d5-84ed-e727ad14ed58,CC BY 4.0,,"Fletcherview Tropical Rangeland SuperSite, Queensland; dominated by Eucalyptus brownii",yes,32755,"[-19.885063, 146.177821]",2,,,,,,,,,,,,,,
Cabo_2025,2019,TLS,Riegl-VZ400i,yes,USA,Dry montane pine forests,https://catalogue.ceh.ac.uk/documents/467a735f-b03c-4c30-8781-82f0e11aec28,Open Government Licence v3,,"Sycan Marsh, Oregon",no,,"[(42.850026, -121.160005)]",2,,,,,,,,,,,,,,
TERNdronescape,2025,ULS,DJI Zenmuse L2,yes,Australia,Several sites,https://portal.tern.org.au/metadata/TERN/6f06238f-8fbf-4306-8131-3b74729e1fc4,CC BY 4.0,,terrestrial ecosystems across Australia’s diverse bioregions.,yes,,"[(-22.283231, 133.251142),(-24.123850, 133.468414),(-35.153192, 137.078908),(-34.011342, 140.593133),]",2,,,,,,,,,,,,,,
TERN_NSW,2024,MLS,,yes,Australia,,https://portal.tern.org.au/metadata/TERN/35528f8b-15bf-4585-b498-b65d894a7354,CC BY 4.0,,"fourteen field plots in public forests in three regions of NSW – south coast, lower north east, upper north east",no,,"[(-31.483739, 152.891816)]",2,,,,,,,,,,,,,,
Borz_2025,2025,iphone_LS,iPhone Pro Max,yes,,,https://zenodo.org/records/17036837,CCA 4.0 International,,,no,,,2,,,,,,,,,,,,,,
Davenport_2019,2019,ULS,Riegl VUX-1UAV,yes,Republic of Congo,tropical peatland forest,https://zenodo.org/records/15730706,CCA 4.0 International,,"Epena and Ekolongouma, Republic of Congo",no,4326,"[(-0.549313, 15.631444),(1.354875, 17.444718)]",2,,,,,,,,,,,,,,
Hadas_2025,2025,ULS,Velodyne HDL-32E,yes,Poland,Fruit Orchard,https://zenodo.org/records/15831891,CCA 4.0 International,,Fruit Orchards,yes,2178,"[(51.293930, 17.055902)]",2,,,,,,,,,,,,,,
ForestCO2,2024,ULS,DJI ZENMUSE L2,yes,Serbia,Temperate mixed,https://zenodo.org/records/14555118,CCA 4.0 International,,Go? mountain,yes,,"[(43.566801, 20.842367)]",2,,,,,,,,,,,,,,
Hrdina_2025,2025,"TLS, MLS","Trimble TX8, GeoSLAM ZEB Horizon, iPhone 14 Pro, mapry LA03",yes,Czechia,Temperate mixed,https://zenodo.org/records/15421291,CCA 4.0 International,,"Roztocký háj–Tiché údolí nature reserve, Prague",yes,5514,"[(50.148847, 14.390859)]",2,,,,,,,,,,,,,,
Ouattara_2025,2025,ULS,,yes,Côte d'Ivoire,Agoforestry,https://zenodo.org/records/15290963,CCA 4.0 International,,,yes,,"[(7.404705, -5.496510)]",2,,,,,,,,,,,,,,
hoydedata,,ALS,,yes,Norway,Boreal forests,Hoydedata.no,,,Several areas in Norway,yes,35783,,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"fourteen field plots in public forests in three regions of NSW – south coast, lower north east, upper north east",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
